Month,Day,Hour,AC System Output (kW)
5,15,10,0.284119
5,15,11,0.436085
5,15,12,0.534946
5,15,13,0.28868
5,15,14,0.178725
5,15,15,0.23889
5,15,16,0.22249
5,15,17,0.222531
5,15,18,0.283062
5,15,19,0.179125
5,15,20,0.058648
5,15,21,0
5,15,22,0
5,15,23,0
5,16,0,0
5,16,1,0
5,16,2,0
5,16,3,0
5,16,4,0
5,16,5,0.006911
5,16,6,0.06432
5,16,7,0.228077
5,16,8,0.690671
5,16,9,0.791717
5,16,10,0.833333
5,16,11,0.833333
5,16,12,0.833333
5,16,13,0.833333
5,16,14,0.833333
5,16,15,0.823316
5,16,16,0.807101
5,16,17,0.74565
5,16,18,0.577313
5,16,19,0.190153
5,16,20,0.052627
5,16,21,0.000031
5,16,22,0
5,16,23,0
5,17,0,0
5,17,1,0
5,17,2,0
5,17,3,0
5,17,4,0
5,17,5,0.016048
5,17,6,0.066644
5,17,7,0.310107
5,17,8,0.664435
5,17,9,0.762662
5,17,10,0.798649
5,17,11,0.818039
5,17,12,0.826007
5,17,13,0.828977
5,17,14,0.822898
5,17,15,0.805733
5,17,16,0.783786
5,17,17,0.720042
5,17,18,0.55078
5,17,19,0.188915
5,17,20,0.055802
5,17,21,0.000361
5,17,22,0
5,17,23,0
5,18,0,0
5,18,1,0
5,18,2,0
5,18,3,0
5,18,4,0
5,18,5,0
5,18,6,0.008812
5,18,7,0.189787
5,18,8,0.050006
5,18,9,0.459063
5,18,10,0.667378
5,18,11,0.546532
5,18,12,0.727666
5,18,13,0.833333
5,18,14,0.652749
5,18,15,0.814317
5,18,16,0.783714
5,18,17,0.719481
5,18,18,0.542418
5,18,19,0.182203
5,18,20,0.058198
5,18,21,0.000319
5,18,22,0
5,18,23,0
5,19,0,0
5,19,1,0
5,19,2,0
5,19,3,0
5,19,4,0
5,19,5,0.000366
5,19,6,0.019305
5,19,7,0.052645
5,19,8,0.464307
5,19,9,0.753938
5,19,10,0.792358
5,19,11,0.812201
5,19,12,0.820157
5,19,13,0.822836
5,19,14,0.818599
5,19,15,0.80629
5,19,16,0.782014
5,19,17,0.7269
5,19,18,0.562807
5,19,19,0.19448
5,19,20,0.056441
5,19,21,0.000686
5,19,22,0
5,19,23,0
5,20,0,0
5,20,1,0
5,20,2,0
5,20,3,0
5,20,4,0
5,20,5,0.02318
5,20,6,0.061472
5,20,7,0.323317
5,20,8,0.678319
5,20,9,0.767555
5,20,10,0.807344
5,20,11,0.812636
5,20,12,0.814582
5,20,13,0.814346
5,20,14,0.810884
5,20,15,0.80083
5,20,16,0.77548
5,20,17,0.720033
5,20,18,0.567492
5,20,19,0.196474
5,20,20,0.05476
5,20,21,0.006819
5,20,22,0
5,20,23,0
5,21,0,0
5,21,1,0
5,21,2,0
5,21,3,0
5,21,4,0
5,21,5,0.001194
5,21,6,0.034838
5,21,7,0.18467
5,21,8,0.368461
5,21,9,0.509615
5,21,10,0.657345
5,21,11,0.66465
5,21,12,0.664758
5,21,13,0.663834
5,21,14,0.662563
5,21,15,0.63621
5,21,16,0.597855
5,21,17,0.533511
5,21,18,0.342003
5,21,19,0.130176
5,21,20,0.052096
5,21,21,0
5,21,22,0
